Model,R2,Adjusted_R2,MAE,RMSE,MAPE
Linear Regression,0.1577143201196514,0.1566450419623859,37.5852381852112,49.38792074845824,0.8628058923637123
Decision Tree,0.5141651266499053,0.513548361304702,23.18361947785251,37.50899056899195,0.4699163415233622
Random Forest,0.7799380947764647,0.7796587271057057,13.49983675843191,25.24430788785237,0.2778763813187022
Gradient Boosting,0.5993964980470259,0.5988879335722941,23.3641645713395,34.06029497096487,0.5005473525367874
XGBoost,0.7821229314573932,0.7818463374276874,15.540181165757708,25.118678984796972,0.3224941155921378
